Pavard?     Vardas        ND1  ND2  ND3  ND4  ND5   Egzaminas
Vardas1     Pavarde1        3    5    5    6   10           3
Vardas2     Pavarde2        8    2    5    8    5           7
Vardas3     Pavarde3        5    6    1    8    8          10
Vardas4     Pavarde4        5    2    4    4    8           1
Vardas5     Pavarde5       10    3    0    5    8           6
Vardas6     Pavarde6        1    9    7    3    5           0
Vardas7     Pavarde7        7    0    5   10    6          10
Vardas8     Pavarde8        8    0    6    3    4           7
Vardas9     Pavarde9        3    6    2    9    7           2
Vardas10    Pavarde10       1    5    3    3    2           2
Vardas11    Pavarde11       6    0    3    6    7           0
Vardas12    Pavarde12       7    9    4    6    4           9
Vardas13    Pavarde13       5   10    4    5    2           9
Vardas14    Pavarde14      10    9    0    3    5           5
Vardas15    Pavarde15       6    3    7    0    1           9
Vardas16    Pavarde16       8    7    3    6    1           7
Vardas17    Pavarde17       6    5    0    0   10           8
Vardas18    Pavarde18       9    3    0   10    4           4
Vardas19    Pavarde19       3    6   10   10    9           2
Vardas20    Pavarde20       9    2    3    6    7           0
Vardas21    Pavarde21       5    2    8    6    0           6
Vardas22    Pavarde22       4    9   10    9    2           3
Vardas23    Pavarde23       0    0    0    1    8           1
Vardas24    Pavarde24       9    2    8   10    4           8
Vardas25    Pavarde25       3    3    3    6    1           8
Vardas26    Pavarde26       0    0    6    4    7           4
Vardas27    Pavarde27       9    2    7    5    1           2
Vardas28    Pavarde28       6    6   10    7   10           8
Vardas29    Pavarde29       9    2    8    7   10           2
Vardas30    Pavarde30       7    8    2    3    8           7
Vardas31    Pavarde31       4    2    5    7    5           2
Vardas32    Pavarde32       9    3    6    4    9           0
Vardas33    Pavarde33       7    5    0    8    0           6
Vardas34    Pavarde34       2    8    9    7    9           7
Vardas35    Pavarde35       4    9    0    7    3           2
Vardas36    Pavarde36       8    2    5   10    1           6
Vardas37    Pavarde37       4    4    0    2   10          10
Vardas38    Pavarde38       3    5   10    0   10          10
Vardas39    Pavarde39      10    5    6    2    1           6
Vardas40    Pavarde40       1    7    2   10    8           0
Vardas41    Pavarde41       4    0    0    9   10           2
Vardas42    Pavarde42       4    2    4    3    7           9
Vardas43    Pavarde43       7   10    0    6    7           8
Vardas44    Pavarde44       3    8    1    9    3           9
Vardas45    Pavarde45       4    1    6    4    8           7
Vardas46    Pavarde46       5    0    0    0    6          10
Vardas47    Pavarde47      10    0    9   10    0           9
Vardas48    Pavarde48       9    7   10    2    2           4
Vardas49    Pavarde49       0    2    1    6    5           3
Vardas50    Pavarde50       0   10    1    6   10           4
Vardas51    Pavarde51       5    5    3   10   10           9
Vardas52    Pavarde52       6    4    4    4    1           6
Vardas53    Pavarde53      10    3    3    9   10           1
Vardas54    Pavarde54       3    0    6    5    4          10
Vardas55    Pavarde55       3   10    0    7   10           6
Vardas56    Pavarde56       9    2    1    5    7           7
Vardas57    Pavarde57       5    1    5    7    5           8
Vardas58    Pavarde58       8    9    7    1    4           1
Vardas59    Pavarde59       2    2   10    8    1           2
Vardas60    Pavarde60       5    6    4    4    2           1
Vardas61    Pavarde61       6   10    9    2    9           6
Vardas62    Pavarde62      10    0    0    4    8           0
Vardas63    Pavarde63       9    4    4    1    0           7
Vardas64    Pavarde64       5    3    1    0    0           4
Vardas65    Pavarde65       1    4    7   10    8           1
Vardas66    Pavarde66       8    4    4    6    2           1
Vardas67    Pavarde67       2    1    7    9    9           8
Vardas68    Pavarde68      10    4    4   10    5           6
